"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21734","User registration test @master @sanity @regression","chromium","Fri Jun 06 22:59:39 IST 2025","passed","Fri Jun 06 23:00:01 IST 2025","","AccountRegistration.spec.ts","",""
"","9581","User login test @master @sanity @regression","chromium","Fri Jun 06 23:30:24 IST 2025","passed","Fri Jun 06 23:30:33 IST 2025","","Login.spec.ts","",""
